Brodie Grundy,124.17,871000,Ruck,Collingwood Magpies
Jackson Macrae,116.22,890000,Midfield,Western Bulldogs
Adam Treloar,112.04,787000,Midfield,Collingwood Magpies
Andrew Gaff,111.86,803000,Midfield,West Coast Eagles
Tim Taranto,111.31,660000,Midfield,Greater Western Sydney Giants
Max Gawn,111.29,808000,Ruck,Melbourne Demons
Joshua Kelly,110.22,787000,Midfield,Greater Western Sydney Giants
Josh Dunkley,110,695000,Midfield,Western Bulldogs
Brad Crouch,107.86,524000,Midfield,Adeliade Crows
Lachie Whitfield,107.58,726000,Defender,Greater Western Sydney Giants
Zachary Merrett,107.48,736000,Midfield,Essendon Bombers
Jake Lloyd,107.09,738000,Defender,Sydney Swans
Matt Crouch,106.16,761000,Midfield,Adeliade Crows
Clayton Oliver,105.86,792000,Midfield,Melbourne Demons
Patrick Dangerfield,105.79,771000,Midfield,Geelong Cats
Travis Boak,105.67,633000,Forward,Port Adelaide Power
Nathan Fyfe,104.95,741000,Midfield,Fremantle Dockers
Jarrod Witts,104.41,681000,Ruck,Gold Coast Suns
Scott Pendlebury,104.21,738000,Midfield,Collingwood Magpies
Dayne Zorko,104.21,701000,Midfield,Brisbane Lions
Stephen Coniglio,103.67,801000,Midfield,Greater Western Sydney Giants
Lachie Neale,103.54,727000,Midfield,Brisbane Lions
Mitchell Duncan,103.26,739000,Midfield,Geelong Cats
Marcus Bontempelli,103.22,671000,Midfield,Western Bulldogs
Bachar Houli,102.32,536000,Defender,Richmond Tigers
Luke Shuey,101.67,634000,Midfield,West Coast Eagles
Patrick Cripps,101.45,793000,Midfield,Carlton Blues
Elliot Yeo,101.43,775000,Midfield,West Coast Eagles
Josh P. Kennedy,100.26,654000,Midfield,Sydney Swans
Dion Prestia,100.24,618000,Midfield,Richmond Tigers
Steele Sidebottom,99.87,750000,Midfield,Collingwood Magpies
Brayden Fiorini,99.71,665000,Midfield,Gold Coast Suns
Jaeger O'Meara,99.62,695000,Midfield,Hawthorn Hawks
Rory Sloane,99.59,653000,Midfield,Adeliade Crows
Tom Rockliff,99.33,600000,Midfield,Port Adelaide Power
Rowan Marshall,99.15,512000,Forward,St Kilda Saints
Tim Kelly,99,630000,Midfield,Geelong Cats
Daniel Hannebery,98.6,,Midfield,St Kilda Saints
Jack Billings,98.55,618000,Forward,St Kilda Saints
Luke Parker,98.5,694000,Midfield,Sydney Swans
Dylan Shiel,98.05,647000,Midfield,Essendon Bombers
Lachlan Hunter,97.83,765000,Midfield,Western Bulldogs
Jack Crisp,97.67,635000,Defender,Collingwood Magpies
Jarryd Lyons,97.42,689000,Midfield,Brisbane Lions
Toby Greene,97.26,604000,Forward,Greater Western Sydney Giants
Rory Laird,96.91,782000,Defender,Adeliade Crows
James Worpel,96.73,480000,Midfield,Hawthorn Hawks
Ricky Henderson,96.64,610000,Midfield,Hawthorn Hawks
Jack Steele,96.15,685000,Midfield,St Kilda Saints
Marc Murphy,95.89,705000,Midfield,Carlton Blues
Dustin Martin,95.61,674000,Midfield,Richmond Tigers
Reilly O'Brien,95.5,232000,Ruck,Adeliade Crows
Liam Shiels,95.37,704000,Midfield,Hawthorn Hawks
Shaun Higgins,95.29,681000,Midfield,North Melbourne Kangaroos
Dyson Heppell,94.5,738000,Midfield,Essendon Bombers
Sebastian Ross,94.32,779000,Midfield,St Kilda Saints
James Harmes,93.95,603000,Midfield,Melbourne Demons
Taylor Adams,93.92,690000,Midfield,Collingwood Magpies
Mitch Robinson,93.78,640000,Midfield,Brisbane Lions
Caleb Daniel,93.76,565000,Forward,Western Bulldogs
Michael Walters,93.45,581000,Midfield,Fremantle Dockers
Nic Newman,93.35,552000,Defender,Carlton Blues
Oliver Wines,93.33,678000,Midfield,Port Adelaide Power
Thomas Stewart,93.24,579000,Defender,Geelong Cats
Dominic Sheed,92.96,539000,Midfield,West Coast Eagles
Zachary Williams,92.46,421000,Defender,Greater Western Sydney Giants
Jacob Hopper,92.35,568000,Midfield,Greater Western Sydney Giants
Sam Walsh,92.23,270000,Midfield,Carlton Blues
Ed Langdon,92.09,645000,Midfield,Fremantle Dockers
Jack Redden,91.65,698000,Midfield,West Coast Eagles
Hugh McCluggage,91.39,563000,Midfield,Brisbane Lions
Tom Phillips,91.33,693000,Midfield,Collingwood Magpies
Shannon Hurn,91.29,645000,Defender,West Coast Eagles
Touk Miller,90.94,624000,Midfield,Gold Coast Suns
Edward Curnow,89.86,728000,Midfield,Carlton Blues
Isaac Heeney,89.77,658000,Midfield,Sydney Swans
Jack Ziebell,89.73,601000,Forward,North Melbourne Kangaroos
Christian Salem,89.6,576000,Defender,Melbourne Demons
Tom Lynch,89.38,487000,Forward,Adeliade Crows
Bradley Hill,88.68,587000,Midfield,Fremantle Dockers
Dayne Beams,88.67,768000,Midfield,Collingwood Magpies
Todd Goldstein,88.36,678000,Ruck,North Melbourne Kangaroos
Jared Polec,88.18,669000,Midfield,North Melbourne Kangaroos
Trent Dumont,88.1,598000,Midfield,North Melbourne Kangaroos
Angus Brayshaw,88.05,763000,Midfield,Melbourne Demons
Cameron Ellis-Yolmen,87.9,592000,Midfield,Adeliade Crows
David Swallow,87.86,614000,Midfield,Gold Coast Suns
Will Brodie,87.75,466000,Midfield,Gold Coast Suns
Darcy Macpherson,87.27,440000,Forward,Gold Coast Suns
Brodie Smith,87.05,439000,Defender,Adeliade Crows
Daniel Rich,86.92,519000,Defender,Brisbane Lions
Jeremy Cameron,86.83,566000,Forward,Greater Western Sydney Giants
Matthew Taberner,86.44,485000,Forward,Fremantle Dockers
Darcy Byrne-Jones,86.27,519000,Defender,Port Adelaide Power
Gary Ablett,86.08,754000,Midfield,Geelong Cats
Luke Dunstan,85.83,599000,Midfield,St Kilda Saints
Kane Lambert,85.62,589000,Forward,Richmond Tigers
Stefan Martin,85.58,735000,Ruck,Brisbane Lions
Anthony Miles,85.35,425000,Midfield,Gold Coast Suns
Isaac Smith,84.95,647000,Midfield,Hawthorn Hawks
Patrick Lipinski,84.79,419000,Midfield,Western Bulldogs
Matthew Suckling,84.63,639000,Defender,Western Bulldogs
James Sicily,83.64,694000,Defender,Hawthorn Hawks
Jack Martin,83.44,608000,Midfield,Gold Coast Suns
Charlie Constable,83.43,170000,Midfield,Geelong Cats
Jade Gresham,83.42,531000,Forward,St Kilda Saints
Scott Lycett,83.39,559000,Ruck,Port Adelaide Power
Ben McEvoy,83.32,628000,Ruck,Hawthorn Hawks
Heath Shaw,83.08,627000,Defender,Greater Western Sydney Giants
Zak Jones,82.82,499000,Defender,Sydney Swans
Matthew Kreuzer,82.73,576000,Ruck,Carlton Blues
Jordan Dawson,82.7,399000,Midfield,Sydney Swans
Lachlan Weller,82.53,543000,Midfield,Gold Coast Suns
Jack Viney,82.33,604000,Midfield,Melbourne Demons
Ben Cunnington,81.95,682000,Midfield,North Melbourne Kangaroos
