Brodie Grundy,106.0,871000,Ruck,Collingwood Magpies
Jackson Macrae,121.0,890000,Midfield,Western Bulldogs
Adam Treloar,125.0,787000,Midfield,Collingwood Magpies
Andrew Gaff,32.333333333333336,803000,Midfield,West Coast Eagles
Tim Taranto,111.33333333333333,660000,Midfield,Greater Western Sydney Giants
Max Gawn,96.0,808000,Ruck,Melbourne Demons
Joshua Kelly,33.333333333333336,787000,Midfield,Greater Western Sydney Giants
Josh Dunkley,77.33333333333333,695000,Midfield,Western Bulldogs
Brad Crouch,115.33333333333333,524000,Midfield,Adeliade Crows
Lachie Whitfield,134.66666666666666,726000,Defender,Greater Western Sydney Giants
Zachary Merrett,81.33333333333333,736000,Midfield,Essendon Bombers
Jake Lloyd,124.33333333333333,738000,Defender,Sydney Swans
Matt Crouch,111.33333333333333,761000,Midfield,Adeliade Crows
Clayton Oliver,95.0,792000,Midfield,Melbourne Demons
Patrick Dangerfield,123.0,771000,Midfield,Geelong Cats
Travis Boak,133.33333333333334,633000,Forward,Port Adelaide Power
Nathan Fyfe,100.0,741000,Midfield,Fremantle Dockers
Jarrod Witts,93.66666666666667,681000,Ruck,Gold Coast Suns
Scott Pendlebury,92.33333333333333,738000,Midfield,Collingwood Magpies
Dayne Zorko,90.33333333333333,701000,Midfield,Brisbane Lions
Stephen Coniglio,106.33333333333333,801000,Midfield,Greater Western Sydney Giants
Lachie Neale,124.0,727000,Midfield,Brisbane Lions
Mitchell Duncan,102.0,739000,Midfield,Geelong Cats
Marcus Bontempelli,122.66666666666667,671000,Midfield,Western Bulldogs
Bachar Houli,34.0,536000,Defender,Richmond Tigers
Luke Shuey,101.66666666666667,634000,Midfield,West Coast Eagles
Patrick Cripps,112.66666666666667,793000,Midfield,Carlton Blues
Elliot Yeo,78.33333333333333,775000,Midfield,West Coast Eagles
Josh P. Kennedy,0.0,654000,Midfield,Sydney Swans
Dion Prestia,88.0,618000,Midfield,Richmond Tigers
Steele Sidebottom,95.66666666666667,750000,Midfield,Collingwood Magpies
Brayden Fiorini,102.33333333333333,665000,Midfield,Gold Coast Suns
Jaeger O'Meara,120.0,695000,Midfield,Hawthorn Hawks
Rory Sloane,124.66666666666667,653000,Midfield,Adeliade Crows
Tom Rockliff,108.0,600000,Midfield,Port Adelaide Power
Rowan Marshall,75.0,512000,Forward,St Kilda Saints
Tim Kelly,104.0,630000,Midfield,Geelong Cats
