Bachar Houli,DEF,103.2,19,766000
Dion Prestia,MID,99.4,22,738000
Dustin Martin,MID/FWD,97.1,20,721000
Kane Lambert,FWD,86.6,18,643000
Toby Nankervis,RUC,78.4,9,642000
Jack Graham,MID,82.9,14,615000
Nick Vlastuin,DEF,78.9,21,585000
Shane Edwards,DEF/MID,74,21,549000
Ivan Soldo,RUC,72.5,11,538000
Sydney Stack,DEF,72.3,17,536000
Trent Cotchin,MID,70.7,11,525000
Josh Caddy,MID/FWD,70.5,15,523000
Jayden Short,DEF,70.4,12,522000
Jason Castagna,FWD,68.9,21,511000
Liam Baker,DEF/FWD,68.7,16,510000
Jack Higgins,FWD,67,13,497000
Shai Bolton,FWD,63.7,16,473000
Kamdyn McIntosh,MID,63.1,16,468000
Tom J. Lynch,FWD,62.4,22,463000
Jack Riewoldt,FWD,58.5,10,434000
Jack Ross,MID,62,7,419000
Daniel Rioli,FWD,56.2,19,417000
David Astbury,DEF,56.1,19,416000
Patrick Naish,MID,73.5,2,414000
Dylan Grimes,DEF,55.7,21,413000
Mabior Chol,RUC/FWD,54.3,9,391000
Nathan Broad,DEF,50.1,21,372000
Callum Coleman-Jones,RUC/FWD,66,1,367000
Noah Balta,RUC/FWD,47.6,13,353000
Alex Rance,DEF,24,1,335000
Ryan Garthwaite,DEF,41.6,7,331000
Derek Eggmolesse-Smith,DEF,58,2,327000
Oleg Markov,MID,55,2,310000
Thomson Dow,MID,0,0,230000
Noah Cumberland,MID/FWD,0,0,186000
Will Martyn,MID,0,0,184000
Hugo Ralphsmith,MID/FWD,0,0,180000
Ben Miller,DEF,0,0,170000
Marlion Pickett,MID,0,0,170000
Bigoa Nyuon,DEF/RUC,0,0,170000
Luke English,MID/FWD,0,0,170000
Jake Aarts,FWD,0,0,170000
Fraser Turner,MID,0,0,170000
Riley Collier-Dawkins,MID,0,0,170000
Josh Kelly,MID,115.9,14,860000
Lachie Whitfield,MID/FWD,113.8,16,844000
Tim Taranto,MID,112.5,22,835000
Stephen Coniglio,MID,103.7,15,769000
Toby Greene,FWD,98.4,16,730000
Jacob Hopper,MID,93.6,19,695000
Zac Williams,DEF,92.7,20,688000
Jeremy Cameron,FWD,87.5,20,649000
Heath Shaw,DEF,82.5,22,612000
Nick Haynes,DEF,79.4,19,589000
Harry Perryman,MID,75.7,15,562000
Callan Ward,MID,3,1,539000
Jeremy Finlayson,FWD,70.8,19,525000
Matt de Boer,MID,69.9,15,519000
Sam Jacobs,RUC,80.4,5,514000
Phil Davis,DEF,67.6,19,502000
Shane Mumford,RUC,65.7,16,488000
Adam Kennedy,DEF,65.3,19,485000
Sam J. Reid,DEF,64.8,22,481000
Jackson Hately,MID,67.6,7,456000
Brent Daniels,FWD,60.6,22,450000
Harry Himmelberg,FWD,60.5,21,449000
