Max Gawn,106.5,826000,Ruck,Melbourne Demons,15,0.00012893462469733657
Lachie Neale,114.0,777000,Midfield,Brisbane Lions,10,0.00014671814671814672
Lachlan Hunter,14.2,732000,Midfield,Western Bulldogs,1,1.9398907103825135e-05
Zachary Merrett,48.2,803000,Midfield,Essendon Bombers,5,6.002490660024907e-05
Clayton Oliver,82.25,786000,Midfield,Melbourne Demons,5,0.00010464376590330789
Jake Lloyd,81.8,795000,Defender,Sydney Swans,5,0.00010289308176100628
Steele Sidebottom,94.0,731000,Midfield,Collingwood Magpies,0,0.0001285909712722298
Taylor Adams,90.6,706000,Midfield,Collingwood Magpies,16,0.000128328611898017
Tom Rockliff,77.6,737000,Midfield,Port Adelaide Power,0,0.00010529172320217095
Jack Steele,92.4,712000,Midfield,St Kilda Saints,7,0.00012977528089887642
Jackson Macrae,81.8,858000,Midfield,Western Bulldogs,5,9.533799533799533e-05
Mitchell Duncan,89.4,784000,Midfield,Geelong Cats,0,0.00011403061224489797
Matt Crouch,70.75,788000,Midfield,Adeliade Crows,4,8.978426395939086e-05
Brodie Grundy,105.0,906000,Ruck,Collingwood Magpies,41,0.00011589403973509934
Andrew Gaff,95.0,824000,Midfield,West Coast Eagles,2,0.00011529126213592233
Reilly O'Brien,82.0,709000,Ruck,Adeliade Crows,0,0.00011565585331452751
Christian Petracca,85.75,563000,Forward,Melbourne Demons,31,0.00015230905861456483
Lachie Whitfield,66.8,844000,Midfield,Greater Western Sydney Giants,27,7.914691943127962e-05
Tom Mitchell,73.8,671000,Midfield,Hawthorn Hawks,7,0.00010998509687034277
Luke Parker,89.0,731000,Midfield,Sydney Swans,0,0.00012175102599179206
Joshua Kelly,87.0,860000,Midfield,Greater Western Sydney Giants,8,0.00010116279069767441
Jarryd Lyons,90.6,723000,Midfield,Brisbane Lions,0,0.00012531120331950207
Marcus Bontempelli,65.0,777000,Midfield,Western Bulldogs,15,8.365508365508366e-05
Cameron Guthrie,67.8,569000,Midfield,Geelong Cats,0,0.00011915641476274164
