Max Gawn,98.93,826000,Ruck,Melbourne Demons,15,0.00011976997578692495
Lachie Neale,96.26,777000,Midfield,Brisbane Lions,10,0.0001238867438867439
Lachlan Hunter,92.6,732000,Midfield,Western Bulldogs,1,0.00012650273224043714
Zachary Merrett,92.56,803000,Midfield,Essendon Bombers,5,0.00011526774595267747
Clayton Oliver,91.71,786000,Midfield,Melbourne Demons,5,0.00011667938931297709
Jake Lloyd,91.47,795000,Defender,Sydney Swans,5,0.0001150566037735849
Steele Sidebottom,90.89,731000,Midfield,Collingwood Magpies,0,0.00012433652530779754
Taylor Adams,90.58,706000,Midfield,Collingwood Magpies,16,0.00012830028328611898
Tom Rockliff,90.31,737000,Midfield,Port Adelaide Power,0,0.00012253731343283582
Jack Steele,90.16,712000,Midfield,St Kilda Saints,7,0.00012662921348314607
Jackson Macrae,89.61,858000,Midfield,Western Bulldogs,5,0.00010444055944055944
Mitchell Duncan,88.7,784000,Midfield,Geelong Cats,0,0.00011313775510204082
Matt Crouch,88.38,788000,Midfield,Adeliade Crows,4,0.00011215736040609137
Brodie Grundy,87.89,906000,Ruck,Collingwood Magpies,41,9.700883002207505e-05
Andrew Gaff,86.89,824000,Midfield,West Coast Eagles,2,0.0001054490291262136
Reilly O'Brien,86.76,709000,Ruck,Adeliade Crows,0,0.00012236953455571227
Christian Petracca,86.41,563000,Forward,Melbourne Demons,31,0.00015348134991119005
Lachie Whitfield,86.35,844000,Midfield,Greater Western Sydney Giants,27,0.00010231042654028435
Tom Mitchell,86.18,671000,Midfield,Hawthorn Hawks,7,0.00012843517138599108
Luke Parker,84.82,731000,Midfield,Sydney Swans,0,0.00011603283173734609
Joshua Kelly,84.79,860000,Midfield,Greater Western Sydney Giants,8,9.859302325581396e-05
Jarryd Lyons,84.05,723000,Midfield,Brisbane Lions,0,0.00011625172890733057
Marcus Bontempelli,83.78,777000,Midfield,Western Bulldogs,15,0.00010782496782496782
Cameron Guthrie,83.71,569000,Midfield,Geelong Cats,0,0.0001471177504393673
Jed Anderson,83.27,584000,Midfield,North Melbourne Kangaroos,21,0.00014258561643835615
Adam Treloar,83.1,839000,Midfield,Collingwood Magpies,1,9.904648390941597e-05
Travis Boak,83.05,784000,Midfield,Port Adelaide Power,3,0.00010593112244897958
Dylan Shiel,81.67,729000,Midfield,Essendon Bombers,0,0.00011203017832647462
Josh P. Kennedy,81.67,744000,Midfield,Sydney Swans,0,0.00010977150537634409
Sam Menegola,80.71,710000,Midfield,Geelong Cats,3,0.00011367605633802816
Touk Miller,80.59,675000,Midfield,Gold Coast Suns,0,0.0001193925925925926
Rory Laird,79.94,719000,Defender,Adeliade Crows,3,0.00011118219749652294
Patrick Dangerfield,79.9,798000,Midfield,Geelong Cats,10,0.00010012531328320803
Scott Pendlebury,79.73,769000,Midfield,Collingwood Magpies,0,0.00010368010403120937
Todd Goldstein,79.59,656000,Ruck,North Melbourne Kangaroos,2,0.00012132621951219513
Trent Dumont,78.35,654000,Midfield,North Melbourne Kangaroos,0,0.0001198012232415902
Stephen Coniglio,78.0,769000,Midfield,Greater Western Sydney Giants,8,0.00010143042912873862
Alex Witherden,77.83,555000,Defender,Brisbane Lions,0,0.00014023423423423424
Dayne Zorko,77.53,775000,Midfield,Brisbane Lions,1,0.00010003870967741936
Edward Curnow,77.41,667000,Midfield,Carlton Blues,2,0.00011605697151424287
Sam Walsh,77.35,684000,Midfield,Carlton Blues,3,0.00011308479532163742
Andrew McGrath,77.29,554000,Midfield,Essendon Bombers,4,0.00013951263537906138
