Max Gawn,65.33333333333333,826000,Ruck,Melbourne Demons
Lachie Neale,114.33333333333333,777000,Midfield,Brisbane Lions
Lachlan Hunter,23.666666666666668,732000,Midfield,Western Bulldogs
Zachary Merrett,61.0,803000,Midfield,Essendon Bombers
Clayton Oliver,58.333333333333336,786000,Midfield,Melbourne Demons
Jake Lloyd,83.0,795000,Defender,Sydney Swans
Steele Sidebottom,105.33333333333333,731000,Midfield,Collingwood Magpies
Taylor Adams,93.33333333333333,706000,Midfield,Collingwood Magpies
Tom Rockliff,86.33333333333333,737000,Midfield,Port Adelaide Power
Jack Steele,84.66666666666667,712000,Midfield,St Kilda Saints
Jackson Macrae,84.66666666666667,858000,Midfield,Western Bulldogs
Mitchell Duncan,84.0,784000,Midfield,Geelong Cats
Matt Crouch,64.33333333333333,788000,Midfield,Adeliade Crows
Brodie Grundy,98.33333333333333,906000,Ruck,Collingwood Magpies
Andrew Gaff,105.33333333333333,824000,Midfield,West Coast Eagles
Reilly O'Brien,86.66666666666667,709000,Ruck,Adeliade Crows
Christian Petracca,66.0,563000,Forward,Melbourne Demons
Lachie Whitfield,48.333333333333336,844000,Midfield,Greater Western Sydney Giants
Tom Mitchell,74.0,671000,Midfield,Hawthorn Hawks
Luke Parker,93.33333333333333,731000,Midfield,Sydney Swans
Joshua Kelly,46.666666666666664,860000,Midfield,Greater Western Sydney Giants
Jarryd Lyons,90.0,723000,Midfield,Brisbane Lions
Marcus Bontempelli,62.0,777000,Midfield,Western Bulldogs
Cameron Guthrie,57.333333333333336,569000,Midfield,Geelong Cats
Jed Anderson,61.0,584000,Midfield,North Melbourne Kangaroos
Adam Treloar,0.0,839000,Midfield,Collingwood Magpies
Travis Boak,94.0,784000,Midfield,Port Adelaide Power
Dylan Shiel,61.0,729000,Midfield,Essendon Bombers
Josh P. Kennedy,0.0,744000,Midfield,Sydney Swans
Sam Menegola,54.0,710000,Midfield,Geelong Cats
Touk Miller,85.33333333333333,675000,Midfield,Gold Coast Suns
Rory Laird,70.33333333333333,719000,Defender,Adeliade Crows
Patrick Dangerfield,68.66666666666667,798000,Midfield,Geelong Cats
Scott Pendlebury,95.66666666666667,769000,Midfield,Collingwood Magpies
Todd Goldstein,100.33333333333333,656000,Ruck,North Melbourne Kangaroos
Trent Dumont,75.0,654000,Midfield,North Melbourne Kangaroos
Stephen Coniglio,78.66666666666667,769000,Midfield,Greater Western Sydney Giants
Alex Witherden,19.0,555000,Defender,Brisbane Lions
Dayne Zorko,42.666666666666664,775000,Midfield,Brisbane Lions
Edward Curnow,63.333333333333336,667000,Midfield,Carlton Blues
Sam Walsh,61.0,684000,Midfield,Carlton Blues
Andrew McGrath,59.666666666666664,554000,Midfield,Essendon Bombers
James Worpel,73.0,718000,Midfield,Hawthorn Hawks
Hugh Greenwood,67.33333333333333,581000,Midfield,Gold Coast Suns
Oliver Wines,28.666666666666668,692000,Midfield,Port Adelaide Power
Josh Dunkley,79.33333333333333,824000,Midfield,Western Bulldogs
Thomas Stewart,77.0,705000,Defender,Geelong Cats
Rowan Marshall,69.66666666666667,736000,Ruck,St Kilda Saints
Andrew Brayshaw,56.666666666666664,516000,Midfield,Fremantle Dockers
Shaun Higgins,68.0,707000,Midfield,North Melbourne Kangaroos
Jack Crisp,73.33333333333333,725000,Defender,Collingwood Magpies
Tim Kelly,79.66666666666667,719000,Midfield,West Coast Eagles
Jaeger O'Meara,56.0,739000,Midfield,Hawthorn Hawks
Jack Viney,64.66666666666667,611000,Midfield,Melbourne Demons
Dustin Martin,54.333333333333336,721000,Midfield,Richmond Tigers
Nathan Fyfe,88.66666666666667,779000,Midfield,Fremantle Dockers
Patrick Cripps,89.33333333333333,753000,Midfield,Carlton Blues
Tim Taranto,0.0,835000,Midfield,Greater Western Sydney Giants
Blake Acres,0.0,501000,Midfield,Fremantle Dockers
Hugh McCluggage,72.33333333333333,678000,Midfield,Brisbane Lions
Brad Crouch,75.0,801000,Midfield,Adeliade Crows
Callum Mills,61.333333333333336,559000,Defender,Sydney Swans
Jack Billings,87.66666666666667,731000,Midfield,St Kilda Saints
Jayden Short,66.0,522000,Defender,Richmond Tigers
Michael Walters,86.66666666666667,694000,Midfield,Fremantle Dockers
Ed Langdon,59.0,683000,Midfield,Melbourne Demons
Timothy English,63.0,572000,Ruck,Western Bulldogs
Luke McDonald,39.0,431000,Defender,North Melbourne Kangaroos
Brandon Ellis,51.333333333333336,629000,Midfield,Gold Coast Suns
Tom Hawkins,59.0,526000,Forward,Geelong Cats
Caleb Daniel,70.33333333333333,696000,Defender,Western Bulldogs
Jared Polec,72.33333333333333,654000,Midfield,North Melbourne Kangaroos
Jordan Ridley,47.0,444000,Defender,Essendon Bombers
David Swallow,45.0,652000,Midfield,Gold Coast Suns
Zak Jones,90.0,614000,Midfield,St Kilda Saints
Christian Salem,26.0,665000,Defender,Melbourne Demons
Dan Houston,66.66666666666667,596000,Defender,Port Adelaide Power
Elliot Yeo,70.66666666666667,762000,Midfield,West Coast Eagles
Brayden Maynard,86.33333333333333,570000,Defender,Collingwood Magpies
Sam Docherty,93.33333333333333,563000,Defender,Carlton Blues
Jy Simpkin,85.66666666666667,496000,Midfield,North Melbourne Kangaroos
Matt Rowell,92.0,270000,Midfield,Gold Coast Suns
Devon Smith,43.333333333333336,720000,Midfield,Essendon Bombers
Nick Haynes,76.66666666666667,589000,Defender,Greater Western Sydney Giants
Isaac Heeney,78.33333333333333,666000,Midfield,Sydney Swans
Luke Ryan,57.666666666666664,594000,Defender,Fremantle Dockers
Jacob Hopper,74.0,695000,Midfield,Greater Western Sydney Giants
Harry Perryman,77.66666666666667,562000,Midfield,Greater Western Sydney Giants
Brad Ebert,89.66666666666667,594000,Forward,Port Adelaide Power
Thomas Liberatore,20.666666666666668,564000,Midfield,Western Bulldogs
Daniel Rich,70.33333333333333,653000,Defender,Brisbane Lions
Dominic Sheed,63.0,705000,Midfield,West Coast Eagles
Nicholas Naitanui,69.66666666666667,471000,Ruck,West Coast Eagles
James Sicily,64.66666666666667,620000,Defender,Hawthorn Hawks
Liam Duggan,60.333333333333336,495000,Defender,West Coast Eagles
Bradley Sheppard,61.666666666666664,611000,Defender,West Coast Eagles
Bailey Smith,82.66666666666667,513000,Midfield,Western Bulldogs
Rhys Stanley,43.333333333333336,603000,Ruck,Geelong Cats
Jack Steven,7.0,653000,Midfield,Geelong Cats
Jarrod Berry,61.333333333333336,591000,Midfield,Brisbane Lions
Kyle Langford,56.333333333333336,524000,Midfield,Essendon Bombers
Luke Shuey,80.33333333333333,749000,Midfield,West Coast Eagles
James Cousins,0.0,544000,Midfield,Hawthorn Hawks
Brandan Parfitt,31.333333333333332,536000,Midfield,Geelong Cats
Brodie Smith,51.0,646000,Defender,Adeliade Crows
Josh Daicos,73.66666666666667,431000,Midfield,Collingwood Magpies
Liam Shiels,59.333333333333336,708000,Midfield,Hawthorn Hawks
Dion Prestia,72.0,738000,Midfield,Richmond Tigers
Chad Wingard,85.66666666666667,582000,Midfield,Hawthorn Hawks
Toby Nankervis,10.0,642000,Ruck,Richmond Tigers
Will Setterfield,42.333333333333336,498000,Midfield,Carlton Blues
Joel Selwood,75.33333333333333,585000,Midfield,Geelong Cats
Caleb Serong,0.0,256000,Midfield,Fremantle Dockers
Marc Murphy,69.0,712000,Midfield,Carlton Blues
Jordan Dawson,62.333333333333336,614000,Defender,Sydney Swans
Adam Saad,51.666666666666664,499000,Defender,Essendon Bombers
Adam Cerra,54.666666666666664,451000,Defender,Fremantle Dockers
David Mundy,34.333333333333336,597000,Midfield,Fremantle Dockers
Bachar Houli,62.0,766000,Defender,Richmond Tigers
Toby Greene,40.0,730000,Forward,Greater Western Sydney Giants
Zachary Williams,36.0,688000,Defender,Greater Western Sydney Giants
Matthew Kennedy,0.0,359000,Forward,Carlton Blues
Darcy Parish,31.0,589000,Midfield,Essendon Bombers
Scott Lycett,76.66666666666667,619000,Ruck,Port Adelaide Power
Lachlan Weller,82.33333333333333,612000,Midfield,Gold Coast Suns
Trent Cotchin,71.0,525000,Midfield,Richmond Tigers
Isaac Smith,79.0,630000,Midfield,Hawthorn Hawks
Shannon Hurn,66.66666666666667,678000,Defender,West Coast Eagles
Jarrod Witts,59.333333333333336,775000,Ruck,Gold Coast Suns
Shai Bolton,64.66666666666667,473000,Forward,Richmond Tigers
Sam Jacobs,59.666666666666664,514000,Ruck,Greater Western Sydney Giants
Tom Lynch,0.0,463000,Forward,Adeliade Crows
Ben Keays,32.666666666666664,338000,Forward,Adeliade Crows
Jack Bowes,75.33333333333333,531000,Midfield,Gold Coast Suns
Jack Martin,73.33333333333333,619000,Midfield,Carlton Blues
Bailey Williams,61.333333333333336,575000,Defender,Western Bulldogs
Hunter Clark,67.0,574000,Defender,St Kilda Saints
Paul Seedsman,51.0,540000,Midfield,Adeliade Crows
Karl Amon,66.0,567000,Midfield,Port Adelaide Power
Angus Brayshaw,44.666666666666664,653000,Midfield,Melbourne Demons
Tom Phillips,65.0,672000,Midfield,Collingwood Magpies
Nicholas Coffield,39.0,415000,Defender,St Kilda Saints
Zach Tuohy,63.666666666666664,507000,Defender,Geelong Cats
Kane Lambert,52.333333333333336,643000,Forward,Richmond Tigers
Jack Lukosius,63.0,388000,Defender,Gold Coast Suns
Ben Ainsworth,72.66666666666667,483000,Midfield,Gold Coast Suns
Jason Johannisen,62.0,609000,Defender,Western Bulldogs
Darcy Byrne-Jones,78.0,640000,Defender,Port Adelaide Power
James Aish,63.0,496000,Defender,Fremantle Dockers
Jade Gresham,65.66666666666667,619000,Midfield,St Kilda Saints
Patrick Ryder,59.0,521000,Ruck,St Kilda Saints
Michael Gibbons,55.0,463000,Forward,Carlton Blues
Steven May,26.666666666666668,527000,Defender,Melbourne Demons
Aaron Hall,62.333333333333336,527000,Midfield,North Melbourne Kangaroos
Jack Gunston,57.666666666666664,565000,Forward,Hawthorn Hawks
Robbie Gray,59.0,603000,Midfield,Port Adelaide Power
Zak Butters,64.66666666666667,421000,Forward,Port Adelaide Power
Gryan Miers,72.0,495000,Forward,Geelong Cats
Rory Sloane,58.333333333333336,739000,Midfield,Adeliade Crows
Hamish Hartlett,62.333333333333336,567000,Defender,Port Adelaide Power
Callum Sinclair,42.0,568000,Ruck,Sydney Swans
Michael Hurley,45.333333333333336,574000,Defender,Essendon Bombers
Oliver Florent,77.33333333333333,514000,Midfield,Sydney Swans
Lewis Jetta,67.0,454000,Defender,West Coast Eagles
Hayden Crozier,66.0,531000,Defender,Western Bulldogs
Mark Blicavs,37.666666666666664,505000,Defender,Geelong Cats
Jonathon Ceglar,69.66666666666667,562000,Ruck,Hawthorn Hawks
Ricky Henderson,47.666666666666664,717000,Midfield,Hawthorn Hawks
Ryan Clarke,0.0,460000,Midfield,Sydney Swans
Sebastian Ross,74.33333333333333,700000,Midfield,St Kilda Saints
Oscar McInerney,55.333333333333336,417000,Ruck,Brisbane Lions
Will Day,0.0,246000,Defender,Hawthorn Hawks
Zac Bailey,49.0,358000,Defender,Brisbane Lions
Daniel Butler,74.66666666666667,384000,Forward,St Kilda Saints
Jack Graham,39.333333333333336,615000,Midfield,Richmond Tigers
Jack Higgins,46.333333333333336,497000,Forward,Richmond Tigers
Tom Doedee,37.666666666666664,403000,Defender,Adeliade Crows
Jake Riccardi,0.0,170000,Forward,Greater Western Sydney Giants
Noah Anderson,48.333333333333336,268000,Midfield,Gold Coast Suns
Kade Simpson,58.333333333333336,595000,Defender,Carlton Blues
Matthew Taberner,47.0,622000,Forward,Fremantle Dockers
Jack Redden,44.666666666666664,681000,Midfield,West Coast Eagles
John Noble,52.666666666666664,400000,Defender,Collingwood Magpies
Darcy Tucker,70.0,539000,Midfield,Fremantle Dockers
Robbie Tarrant,53.333333333333336,482000,Defender,North Melbourne Kangaroos
Jack Scrimshaw,20.0,438000,Defender,Hawthorn Hawks
Tom Papley,68.66666666666667,574000,Forward,Sydney Swans
Lachlan Fogarty,0.0,326000,Forward,Geelong Cats
Harry Cunningham,54.333333333333336,581000,Defender,Sydney Swans
Bayley Fritsch,35.666666666666664,551000,Defender,Melbourne Demons
Lachlan Henderson,0.0,424000,Defender,Geelong Cats
Jackson Hately,26.666666666666668,456000,Midfield,Greater Western Sydney Giants
Shane Edwards,46.0,549000,Defender,Richmond Tigers
Sam Mayes,0.0,300000,Midfield,Port Adelaide Power
Peter Ladhams,0.0,414000,Ruck,Port Adelaide Power
Michael Hibberd,28.333333333333332,455000,Defender,Melbourne Demons
Sam Powell-Pepper,51.333333333333336,559000,Midfield,Port Adelaide Power
Patrick Lipinski,21.333333333333332,634000,Midfield,Western Bulldogs
Reece Conca,59.0,554000,Midfield,Fremantle Dockers
Jordan De Goey,62.333333333333336,626000,Forward,Collingwood Magpies
Jack Newnes,36.333333333333336,517000,Midfield,Carlton Blues
Brett Bewley,66.0,367000,Forward,Fremantle Dockers
Nick Vlastuin,56.666666666666664,585000,Defender,Richmond Tigers
Dylan Stephens,0.0,262000,Midfield,Sydney Swans
Rupert Wills,19.0,458000,Midfield,Collingwood Magpies
Jackson Nelson,27.333333333333332,358000,Defender,West Coast Eagles
Charlie Dixon,36.0,513000,Forward,Port Adelaide Power
Daniel Hannebery,70.66666666666667,622000,Midfield,St Kilda Saints
Jeremy McGovern,32.666666666666664,511000,Defender,West Coast Eagles
Mitch Robinson,75.0,695000,Midfield,Brisbane Lions
Rory Lobb,64.33333333333333,588000,Ruck,Fremantle Dockers
Liam Ryan,58.0,422000,Forward,West Coast Eagles
Xavier Duursma,64.0,581000,Midfield,Port Adelaide Power
Jamie Elliott,52.0,502000,Forward,Collingwood Magpies
Luke Davies-Uniacke,0.0,395000,Midfield,North Melbourne Kangaroos
Bradley Hill,64.0,658000,Midfield,St Kilda Saints
James Rowbottom,48.666666666666664,469000,Midfield,Sydney Swans
Liam Baker,32.0,510000,Defender,Richmond Tigers
Gary Ablett,74.33333333333333,658000,Forward,Geelong Cats
Mitchell Brown,10.0,508000,Defender,Melbourne Demons
Brayden Fiorini,51.666666666666664,740000,Midfield,Gold Coast Suns
Jackson Thurlow,0.0,461000,Defender,Sydney Swans
Heath Shaw,49.0,612000,Defender,Greater Western Sydney Giants
Christopher Mayne,65.66666666666667,577000,Midfield,Collingwood Magpies
Connor Rozee,61.333333333333336,539000,Forward,Port Adelaide Power
Jasper Pittard,52.333333333333336,531000,Defender,North Melbourne Kangaroos
Kamdyn Mcintosh,0.0,468000,Midfield,Richmond Tigers
Luke Breust,52.333333333333336,506000,Forward,Hawthorn Hawks
David Zaharakis,28.333333333333332,590000,Midfield,Essendon Bombers
Sam Simpson,0.0,170000,Midfield,Geelong Cats
Oscar Allen,36.0,424000,Forward,West Coast Eagles
Marc Pittonet,50.666666666666664,305000,Ruck,Carlton Blues
Will Snelling,34.0,420000,Forward,Essendon Bombers
Shaun Atley,53.333333333333336,496000,Defender,North Melbourne Kangaroos
Justin Westhoff,73.33333333333333,574000,Midfield,Port Adelaide Power
Charlie Cameron,58.0,499000,Forward,Brisbane Lions
Jye Caldwell,43.0,310000,Midfield,Greater Western Sydney Giants
Jamie Cripps,43.333333333333336,476000,Forward,West Coast Eagles
Jack Darling,44.333333333333336,529000,Forward,West Coast Eagles
Sam Petrevski-Seton,56.0,577000,Defender,Carlton Blues
Tim Membrey,47.0,523000,Forward,St Kilda Saints
Mitchell Hibberd,0.0,197000,Midfield,Essendon Bombers
Jack Sinclair,0.0,493000,Midfield,St Kilda Saints
Ivan Soldo,58.333333333333336,538000,Ruck,Richmond Tigers
Levi Casboult,67.0,485000,Defender,Carlton Blues
Zac Fisher,18.0,469000,Midfield,Carlton Blues
Toby McLean,20.666666666666668,506000,Forward,Western Bulldogs
Jake Carlisle,39.666666666666664,393000,Defender,St Kilda Saints
Jason Castagna,47.666666666666664,511000,Forward,Richmond Tigers
Callan Ward,44.666666666666664,539000,Midfield,Greater Western Sydney Giants
Tom Green,9.0,252000,Midfield,Greater Western Sydney Giants
Shane McAdam,0.0,170000,Forward,Adeliade Crows
David Astbury,59.0,416000,Defender,Richmond Tigers
Dane Rampe,52.666666666666664,589000,Defender,Sydney Swans
Harry Morrison,29.333333333333332,477000,Midfield,Hawthorn Hawks
Trent Rivers,15.0,208000,Defender,Melbourne Demons
Jake Waterman,0.0,456000,Forward,West Coast Eagles
Darcy Fort,14.666666666666666,321000,Forward,Geelong Cats
Callum Ah Chee,36.333333333333336,345000,Midfield,Brisbane Lions
Luke Dahlhaus,42.0,574000,Forward,Geelong Cats
Jack Lonie,51.666666666666664,493000,Forward,St Kilda Saints
Isaac Quaynor,0.0,370000,Defender,Collingwood Magpies
Conor McKenna,0.0,522000,Defender,Essendon Bombers
David MacKay,0.0,486000,Defender,Adeliade Crows
Marlion Pickett,45.0,170000,Midfield,Richmond Tigers
Josh Battle,0.0,508000,Defender,St Kilda Saints
Nathan Wilson,16.333333333333332,481000,Defender,Fremantle Dockers
Adam Tomlinson,41.333333333333336,574000,Midfield,Melbourne Demons
Sean Darcy,20.0,511000,Ruck,Fremantle Dockers
Cameron Rayner,46.0,334000,Forward,Brisbane Lions
Daniel Rioli,41.0,417000,Forward,Richmond Tigers
Ethan Hughes,33.333333333333336,431000,Defender,Fremantle Dockers
Grant Birchall,34.333333333333336,428000,Defender,Brisbane Lions
Connor Blakely,0.0,555000,Defender,Fremantle Dockers
Jeremy Cameron,44.0,649000,Forward,Greater Western Sydney Giants
Darcy Moore,41.666666666666664,409000,Defender,Collingwood Magpies
Ryan Lester,35.0,457000,Defender,Brisbane Lions
Josh Caddy,39.666666666666664,523000,Midfield,Richmond Tigers
Jack Ross,14.0,419000,Midfield,Richmond Tigers
Tom Cutler,39.333333333333336,496000,Midfield,Essendon Bombers
Sam Draper,0.0,170000,Ruck,Essendon Bombers
Josh Rotham,8.0,336000,Defender,West Coast Eagles
George Hewett,31.0,559000,Midfield,Sydney Swans
Justin Mcinerney,29.333333333333332,170000,Midfield,Sydney Swans
David Cuningham,45.666666666666664,477000,Forward,Carlton Blues
Lachlan Schultz,40.333333333333336,320000,Forward,Fremantle Dockers
Aidan Corr,50.666666666666664,265000,Defender,Greater Western Sydney Giants
Stephen Hill,0.0,428000,Defender,Fremantle Dockers
Elliott Himmelberg,0.0,439000,Forward,Adeliade Crows
Eric Hipwood,56.666666666666664,424000,Forward,Brisbane Lions
Ben McEvoy,42.333333333333336,618000,Ruck,Hawthorn Hawks
Jeremy Finlayson,43.0,525000,Forward,Greater Western Sydney Giants
Jarrod Brander,58.333333333333336,217000,Defender,West Coast Eagles
Wil Powell,31.333333333333332,407000,Midfield,Gold Coast Suns
Will Hoskin-Elliott,55.666666666666664,559000,Forward,Collingwood Magpies
Trent McKenzie,69.33333333333333,390000,Defender,Port Adelaide Power
James Harmes,40.0,698000,Midfield,Melbourne Demons
Alex Sexton,30.666666666666668,435000,Forward,Gold Coast Suns
Cameron Zurhaar,51.0,475000,Forward,North Melbourne Kangaroos
Riley Bonner,35.666666666666664,497000,Defender,Port Adelaide Power
Jamie MacMillan,45.333333333333336,557000,Defender,North Melbourne Kangaroos
Lincoln McCarthy,41.333333333333336,444000,Forward,Brisbane Lions
Lachlan Sholl,0.0,170000,Defender,Adeliade Crows
Andrew Phillips,0.0,507000,Ruck,Essendon Bombers
Ryan Burton,39.0,536000,Defender,Port Adelaide Power
Ben Paton,62.666666666666664,442000,Defender,St Kilda Saints
Brody Mihocek,58.0,540000,Forward,Collingwood Magpies
Shane Mumford,0.0,488000,Ruck,Greater Western Sydney Giants
Jesse Hogan,7.666666666666667,490000,Forward,Fremantle Dockers
Izak Rankine,0.0,170000,Forward,Gold Coast Suns
Nathan Jones,13.0,546000,Defender,Melbourne Demons
Esava Ratugolea,39.666666666666664,372000,Forward,Geelong Cats
Tom Lynch,43.333333333333336,463000,Forward,Richmond Tigers
Nathan Broad,41.0,372000,Defender,Richmond Tigers
Gary Rohan,49.333333333333336,365000,Forward,Geelong Cats
Harry McKay,22.666666666666668,456000,Forward,Carlton Blues
Mark O'Connor,44.0,439000,Defender,Geelong Cats
Jack Madgen,23.333333333333332,288000,Defender,Collingwood Magpies
Darcy Macpherson,52.666666666666664,648000,Midfield,Gold Coast Suns
Jack Riewoldt,41.333333333333336,434000,Forward,Richmond Tigers
Callum Wilkie,47.0,444000,Defender,St Kilda Saints
Brent Daniels,32.666666666666664,450000,Forward,Greater Western Sydney Giants
Bailey Scott,11.666666666666666,329000,Midfield,North Melbourne Kangaroos
Will Hayward,29.0,414000,Forward,Sydney Swans
Blake Hardwick,34.333333333333336,536000,Defender,Hawthorn Hawks
Stefan Martin,31.333333333333332,629000,Ruck,Brisbane Lions
Jaidyn Stephenson,12.666666666666666,599000,Forward,Collingwood Magpies
Derek Eggmolesse-Smith,0.0,327000,Defender,Richmond Tigers
Nick Blakey,45.666666666666664,366000,Forward,Sydney Swans
Daniel Lloyd,44.333333333333336,422000,Forward,Greater Western Sydney Giants
Luke Brown,47.0,437000,Defender,Adeliade Crows
