Max Gawn,RUC,123.6,14,944000
Lachie Neale,MID,122.5,17,935000
Zach Merrett,MID,115.8,16,884000
Lachie Hunter,MID,119.1,9,882000
Clayton Oliver,MID,114.6,17,875000
Taylor Adams,MID,114.4,17,873000
Tom Rockliff,MID,114.3,14,873000
Jake Lloyd,DEF,114.4,17,873000
Brodie Grundy,RUC,113.6,17,867000
Jack Steele,MID,113.6,17,867000
Jack Macrae,MID,112.6,17,860000
Matt Crouch,MID,110.5,16,844000
Steele Sidebottom,MID/FWD,113.6,9,841000
Andrew Gaff,MID,108.8,17,831000
Reilly O'Brien,RUC,108.5,17,828000
Christian Petracca,MID,108,17,825000
Tom Mitchell,MID,107.8,17,823000
Lachie Whitfield,DEF,107.4,17,820000
Jarryd Lyons,MID,107,17,817000
Adam Treloar,MID,109.8,8,812000
Cameron Guthrie,MID,106.1,17,810000
Mitch Duncan,MID,106,16,809000
Josh Kelly,MID,106,14,809000
Luke Parker,MID,106,17,809000
Scott Pendlebury,MID,105.5,13,805000
Marcus Bontempelli,MID,104.9,17,801000
Travis Boak,MID,104.6,17,799000
Jed Anderson,MID,104.1,15,795000
Sam Menegola,MID,102.6,17,783000
Dylan Shiel,MID,102.1,15,780000
Patrick Dangerfield,MID/FWD,102.1,17,780000
Josh P. Kennedy,MID,101.6,12,776000
Touk Miller,MID,100.8,17,770000
Bachar Houli,DEF,85.8,9,764000
Rory Laird,DEF/MID,99.9,17,763000
Todd Goldstein,RUC,99.5,17,760000
Dayne Zorko,MID/FWD,98.6,15,753000
Trent Dumont,MID,98,17,748000
Stephen Coniglio,MID,97.5,16,744000
Josh Dunkley,MID/FWD,97.1,11,741000
Ed Curnow,MID,96.8,17,739000
Sam Walsh,MID,96.8,17,739000
Andrew McGrath,MID,96.6,14,738000
Rowan Marshall,RUC/FWD,96.6,17,738000
Hugh Greenwood,MID,96.5,17,737000
James Worpel,MID,96.5,15,737000
Tom Stewart,DEF,96.4,14,736000
Tim Kelly,MID,95.6,17,730000
Andrew Brayshaw,MID,95.5,17,729000
Ollie Wines,MID,95.5,15,729000
Shaun Higgins,MID,95.3,17,728000
Jack Crisp,DEF,95.1,17,726000
Jaeger O'Meara,MID,94.8,12,724000
Nat Fyfe,MID,94.3,14,720000
Jack Viney,MID,94.3,16,720000
Patrick Cripps,MID,94.1,17,718000
Tim Taranto,MID,94.1,11,718000
Brayden Maynard,DEF,93.8,17,716000
Luke Dunstan,MID,125,1,716000
Jack Billings,MID,93.6,17,715000
Dustin Martin,MID/FWD,93.4,16,713000
Hugh McCluggage,MID,92.8,17,708000
Brad Crouch,MID,92.8,12,708000
Zak Jones,MID,92.8,14,708000
Callum Mills,DEF,92.3,15,705000
Michael Walters,MID/FWD,91.4,14,698000
Tim English,RUC,91.4,17,698000
Dan Houston,DEF,91.3,15,697000
Ed Langdon,MID,91.1,17,696000
Jayden Short,DEF,90.9,17,694000
Luke McDonald,DEF,90.6,17,692000
Brandon Ellis,MID,90.5,16,691000
Jared Polec,MID,89.8,13,686000
Jordan Ridley,DEF,89.5,17,683000
David Swallow,MID,89.3,15,682000
Jarrod Berry,MID,89.1,15,680000
Christian Salem,DEF,89.1,16,680000
Elliot Yeo,MID,89,10,679000
Sam Docherty,DEF,88.6,16,676000
Devon Smith,MID,88.5,16,676000
Tom Hawkins,FWD,88.5,17,676000
Jy Simpkin,MID,88.5,17,676000
Caleb Daniel,DEF,88.6,17,676000
Nick Haynes,DEF,88.4,17,675000
Tom Liberatore,MID,88.4,15,675000
Dom Sheed,MID,88.4,16,675000
Luke Ryan,DEF,88.1,17,673000
Jacob Hopper,MID,88.1,17,673000
Brad Sheppard,DEF,88,17,672000
Harry Perryman,MID,87.8,16,670000
Jeremy Howe,DEF,106.9,4,669000
Josh Daicos,MID,87,16,664000
James Sicily,DEF,86.9,11,663000
Bailey Smith,MID,86.9,17,663000
Dan Hannebery,MID,71.6,6,662000
Liam Duggan,DEF,86.6,16,661000
Luke Shuey,MID,86,12,657000
Kyle Langford,MID/FWD,85.8,16,655000
Brandan Parfitt,MID,85.6,14,654000
Alex Witherden,DEF,97.3,6,654000
Nic Naitanui,RUC,85.5,16,653000
Brodie Smith,DEF/MID,85.4,16,652000
Brayden Fiorini,MID,69.8,5,647000
Liam Shiels,MID,84.8,16,647000
Blake Acres,MID,93,7,646000
Dion Prestia,MID,94.5,5,645000
Daniel Rich,DEF,84.4,13,644000
Chad Wingard,FWD,84.4,17,644000
