name,value,price,position,club
Brodie Grundy,124.17,871000,,Collingwood Magpies
Jackson Macrae,116.22,890000,,Western Bulldogs
Adam Treloar,112.04,787000,,Collingwood Magpies
Andrew Gaff,111.86,803000,,West Coast Eagles
Tim Taranto,111.31,660000,,Greater Western Sydney Giants
Max Gawn,111.29,808000,,Melbourne Demons
Joshua Kelly,110.22,,,Greater Western Sydney Giants
Josh Dunkley,110,695000,,Western Bulldogs
Brad Crouch,107.86,524000,,Adeliade Crows
Lachie Whitfield,107.58,726000,,Greater Western Sydney Giants
Zachary Merrett,107.48,736000,,Essendon Bombers
Jake Lloyd,107.09,738000,,Sydney Swans
Matt Crouch,106.16,761000,,Adeliade Crows
Clayton Oliver,105.86,792000,,Melbourne Demons
Patrick Dangerfield,105.79,771000,,Geelong Cats
Travis Boak,105.67,633000,,Port Adelaide Power
Nathan Fyfe,104.95,741000,,Fremantle Dockers
Jarrod Witts,104.41,681000,,Gold Coast Suns
Scott Pendlebury,104.21,738000,,Collingwood Magpies
Dayne Zorko,104.21,701000,,Brisbane Lions
Stephen Coniglio,103.67,801000,,Greater Western Sydney Giants
Lachie Neale,103.54,727000,,Brisbane Lions
Mitchell Duncan,103.26,739000,,Geelong Cats
Marcus Bontempelli,103.22,671000,,Western Bulldogs
Bachar Houli,102.32,536000,,Richmond Tigers
Luke Shuey,101.67,634000,,West Coast Eagles
Patrick Cripps,101.45,793000,,Carlton Blues
Elliot Yeo,101.43,775000,,West Coast Eagles
Josh P. Kennedy,100.26,654000,,Sydney Swans
Dion Prestia,100.24,618000,,Richmond Tigers
Steele Sidebottom,99.87,750000,,Collingwood Magpies
Brayden Fiorini,99.71,665000,,Gold Coast Suns
Jaeger O'Meara,99.62,695000,,Hawthorn Hawks
Rory Sloane,99.59,653000,,Adeliade Crows
Tom Rockliff,99.33,600000,,Port Adelaide Power
Rowan Marshall,99.15,512000,,St Kilda Saints
Tim Kelly,99,630000,,Geelong Cats
Daniel Hannebery,98.6,,,St Kilda Saints
Jack Billings,98.55,618000,,St Kilda Saints
Luke Parker,98.5,694000,,Sydney Swans
Dylan Shiel,98.05,647000,,Essendon Bombers
Lachlan Hunter,97.83,765000,,Western Bulldogs
Jack Crisp,97.67,635000,,Collingwood Magpies
Jarryd Lyons,97.42,689000,,Brisbane Lions
Toby Greene,97.26,604000,,Greater Western Sydney Giants
Rory Laird,96.91,782000,,Adeliade Crows
James Worpel,96.73,480000,,Hawthorn Hawks
Ricky Henderson,96.64,610000,,Hawthorn Hawks
Jack Steele,96.15,685000,,St Kilda Saints
Marc Murphy,95.89,705000,,Carlton Blues
Dustin Martin,95.61,674000,,Richmond Tigers
Reilly O'Brien,95.5,232000,,Adeliade Crows
Liam Shiels,95.37,704000,,Hawthorn Hawks
Shaun Higgins,95.29,681000,,North Melbourne Kangaroos
Dyson Heppell,94.5,738000,,Essendon Bombers
Sebastian Ross,94.32,779000,,St Kilda Saints
James Harmes,93.95,603000,,Melbourne Demons
Taylor Adams,93.92,690000,,Collingwood Magpies
Mitch Robinson,93.78,640000,,Brisbane Lions
Caleb Daniel,93.76,565000,,Western Bulldogs
Michael Walters,93.45,581000,,Fremantle Dockers
Nic Newman,93.35,552000,,Carlton Blues
Oliver Wines,93.33,678000,,Port Adelaide Power
Thomas Stewart,93.24,579000,,Geelong Cats
Dominic Sheed,92.96,539000,,West Coast Eagles
Zachary Williams,92.46,421000,,Greater Western Sydney Giants
Jacob Hopper,92.35,568000,,Greater Western Sydney Giants
Sam Walsh,92.23,270000,,Carlton Blues
Ed Langdon,92.09,645000,,Fremantle Dockers
Jack Redden,91.65,698000,,West Coast Eagles
Hugh McCluggage,91.39,563000,,Brisbane Lions
Tom Phillips,91.33,693000,,Collingwood Magpies
Shannon Hurn,91.29,645000,,West Coast Eagles
Touk Miller,90.94,624000,,Gold Coast Suns
Edward Curnow,89.86,728000,,Carlton Blues
Isaac Heeney,89.77,658000,,Sydney Swans
Jack Ziebell,89.73,601000,,North Melbourne Kangaroos
Christian Salem,89.6,576000,,Melbourne Demons
Tom Lynch,89.38,487000,,Adeliade Crows
Bradley Hill,88.68,587000,,Fremantle Dockers
Dayne Beams,88.67,768000,,Collingwood Magpies
Todd Goldstein,88.36,678000,,North Melbourne Kangaroos
