Gaff Andrew,MID,110.68,19,803000
Yeo Elliot,MID,106.77,22,775000
Redden Jack,MID,96.23,22,698000
Hurn Shannon,DEF,88.86,22,645000
Shuey Luke,MID,87.29,17,634000
Cripps Jamie,FWD,81.32,22,590000
Naitanui Nic,RUC,80.33,15,583000
Masten Chris,MID,78.71,21,571000
Hutchings Mark,MID,77.06,17,559000
Darling Jack,FWD,76.72,18,557000
Hickey Tom,RUC,75.38,13,547000
Sheppard Brad,DEF,74.59,22,541000
Sheed Dom,MID,74.33,15,539000
McGovern Jeremy,DEF,66.86,21,485000
Duggan Liam,DEF,66.81,21,485000
Kennedy Josh J.,FWD,65.18,11,473000
Jetta Lewis,DEF,63.59,17,461000
Smith Josh,FWD,52,1,444000
Vardy Nathan,RUC/FWD,55.57,7,435000
Barrass Tom,DEF,58.31,16,423000
Ryan Liam,FWD,56.7,10,411000
Ah Chee Brendon,FWD,59.25,8,404000
Waterman Jake,FWD,54.81,16,398000
Cole Thomas,DEF,53.83,18,391000
Rioli Willie,FWD,53.81,21,391000
Ainsworth Brayden,MID,64.33,3,369000
McInnes Fraser,RUC,47,3,364000
Brooksby Keegan,RUC,0,0,357000
Venables Daniel,FWD,45.92,12,333000
Nelson Jackson,DEF,40.3,10,292000
Allen Oscar,DEF,50,2,276000
Mutimer Kurt,DEF,0,0,251000
Schofield Will,DEF,33.8,10,245000
O'Neill Xavier,MID,0,0,216000
Foley Luke,MID,0,0,210000
Williams Bailey,RUC/FWD,0,0,202000
Cameron Jarrod,MID/FWD,0,0,194000
Brander Jarrod,FWD,30,1,170000
Petruccelle Jack,FWD,21.33,3,170000
Watson Francis,DEF,0,0,170000
Rotham Josh,DEF,0,0,170000
Allen Matthew,MID/FWD,0,0,170000
Brayshaw Hamish,MID,0,0,170000
Riach Brodie,MID/FWD,0,0,170000
Edwards Harry,RUC,0,0,170000
Bines Patrick,RUC/FWD,0,0,170000
Grundy Brodie,RUC,120,22,871000
Treloar Adam,MID,108.46,13,787000
Beams Dayne,MID,105.81,21,768000
Sidebottom Steele,MID,103.36,22,750000
Pendlebury Scott,MID,101.67,21,738000
Phillips Tom,MID,95.45,22,693000
Adams Taylor,MID,95.11,19,690000
Crisp Jack,DEF,87.5,22,635000
Howe Jeremy,DEF,82.29,17,597000
De Goey Jordan,FWD,81.82,17,594000
Maynard Brayden,DEF,74.61,18,541000
