Max Gawn,98.93,826000,Ruck,Melbourne Demons
Lachie Neale,96.26,777000,Midfield,Brisbane Lions
Lachlan Hunter,92.6,732000,Midfield,Western Bulldogs
Zachary Merrett,92.56,803000,Midfield,Essendon Bombers
Clayton Oliver,91.71,786000,Midfield,Melbourne Demons
Jake Lloyd,91.47,795000,Defender,Sydney Swans
Steele Sidebottom,90.89,731000,Midfield,Collingwood Magpies
Taylor Adams,90.58,706000,Midfield,Collingwood Magpies
Tom Rockliff,90.31,737000,Midfield,Port Adelaide Power
Jack Steele,90.16,712000,Midfield,St Kilda Saints
Jackson Macrae,89.61,858000,Midfield,Western Bulldogs
Mitchell Duncan,88.7,784000,Midfield,Geelong Cats
Matt Crouch,88.38,788000,Midfield,Adeliade Crows
Brodie Grundy,87.89,906000,Ruck,Collingwood Magpies
Andrew Gaff,86.89,824000,Midfield,West Coast Eagles
Reilly O'Brien,86.76,709000,Ruck,Adeliade Crows
Christian Petracca,86.41,563000,Forward,Melbourne Demons
Lachie Whitfield,86.35,844000,Midfield,Greater Western Sydney Giants
Tom Mitchell,86.18,671000,Midfield,Hawthorn Hawks
Luke Parker,84.82,731000,Midfield,Sydney Swans
Joshua Kelly,84.79,860000,Midfield,Greater Western Sydney Giants
Jarryd Lyons,84.05,723000,Midfield,Brisbane Lions
Marcus Bontempelli,83.78,777000,Midfield,Western Bulldogs
Cameron Guthrie,83.71,569000,Midfield,Geelong Cats
Jed Anderson,83.27,584000,Midfield,North Melbourne Kangaroos
Adam Treloar,83.1,839000,Midfield,Collingwood Magpies
Travis Boak,83.05,784000,Midfield,Port Adelaide Power
Dylan Shiel,81.67,729000,Midfield,Essendon Bombers
Josh P. Kennedy,81.67,744000,Midfield,Sydney Swans
Sam Menegola,80.71,710000,Midfield,Geelong Cats
Touk Miller,80.59,675000,Midfield,Gold Coast Suns
Rory Laird,79.94,719000,Defender,Adeliade Crows
Patrick Dangerfield,79.9,798000,Midfield,Geelong Cats
Scott Pendlebury,79.73,769000,Midfield,Collingwood Magpies
Todd Goldstein,79.59,656000,Ruck,North Melbourne Kangaroos
Trent Dumont,78.35,654000,Midfield,North Melbourne Kangaroos
Stephen Coniglio,78.0,769000,Midfield,Greater Western Sydney Giants
Alex Witherden,77.83,555000,Defender,Brisbane Lions
Dayne Zorko,77.53,775000,Midfield,Brisbane Lions
Edward Curnow,77.41,667000,Midfield,Carlton Blues
Sam Walsh,77.35,684000,Midfield,Carlton Blues
Andrew McGrath,77.29,554000,Midfield,Essendon Bombers
James Worpel,77.2,718000,Midfield,Hawthorn Hawks
Hugh Greenwood,77.18,581000,Midfield,Gold Coast Suns
Oliver Wines,77.12,692000,Midfield,Port Adelaide Power
Josh Dunkley,77.08,824000,Midfield,Western Bulldogs
Thomas Stewart,77.06,705000,Defender,Geelong Cats
Rowan Marshall,76.89,736000,Ruck,St Kilda Saints
Andrew Brayshaw,76.41,516000,Midfield,Fremantle Dockers
Shaun Higgins,76.18,707000,Midfield,North Melbourne Kangaroos
Jack Crisp,76.11,725000,Defender,Collingwood Magpies
Tim Kelly,75.83,719000,Midfield,West Coast Eagles
Jaeger O'Meara,75.83,739000,Midfield,Hawthorn Hawks
Jack Viney,75.44,611000,Midfield,Melbourne Demons
Dustin Martin,75.4,721000,Midfield,Richmond Tigers
Nathan Fyfe,75.36,779000,Midfield,Fremantle Dockers
Patrick Cripps,75.29,753000,Midfield,Carlton Blues
Tim Taranto,75.27,835000,Midfield,Greater Western Sydney Giants
Blake Acres,74.43,501000,Midfield,Fremantle Dockers
