Touk Miller,122.14,,,Gold Coast Suns
Jack Steele,120.76,,,St Kilda Saints
Jarryd Lyons,117.09,,,Brisbane Lions
Jackson Macrae,115.91,,,Western Bulldogs
Tom Mitchell,115.59,,,Hawthorn Hawks
Christian Petracca,112.14,,,Melbourne Demons
Oliver Wines,111.91,,,Port Adelaide Power
Zachary Merrett,111.29,,,Essendon Bombers
Rory Laird,110.33,,,Adeliade Crows
Callum Mills,110.0,,,Sydney Swans
Cameron Guthrie,109.89,,,Geelong Cats
Sam Walsh,109.14,,,Carlton Blues
Dayne Zorko,108.9,,,Brisbane Lions
Brodie Grundy,108.84,,,Collingwood Magpies
Tim Taranto,108.24,,,Greater Western Sydney Giants
Aaron Hall,108.0,,,North Melbourne Kangaroos
Marcus Bontempelli,107.86,,,Western Bulldogs
Clayton Oliver,107.52,,,Melbourne Demons
Darcy Parish,107.43,,,Essendon Bombers
Max Gawn,107.1,,,Melbourne Demons
Ben Keays,106.29,,,Adeliade Crows
Brayden Fiorini,105.33,,,Gold Coast Suns
Andrew Brayshaw,104.32,,,Fremantle Dockers
Joshua Kelly,103.7,,,Greater Western Sydney Giants
Jack Crisp,103.67,,,Collingwood Magpies
Mitchell Duncan,100.3,,,Geelong Cats
Jack Ziebell,100.1,,,North Melbourne Kangaroos
Hugh McCluggage,100.05,,,Brisbane Lions
Luke Parker,99.32,,,Sydney Swans
Ben Cunnington,99.2,,,North Melbourne Kangaroos
Taylor Adams,99.0,,,Collingwood Magpies
Karl Amon,98.68,,,Port Adelaide Power
Sam Docherty,98.64,,,Carlton Blues
Jake Lloyd,98.24,,,Sydney Swans
Daniel Rich,98.09,,,Brisbane Lions
Travis Boak,97.67,,,Port Adelaide Power
Andrew Gaff,97.19,,,West Coast Eagles
Lachie Whitfield,96.93,,,Greater Western Sydney Giants
Thomas Stewart,96.8,,,Geelong Cats
Sean Darcy,96.35,,,Fremantle Dockers
Paul Seedsman,96.24,,,Adeliade Crows
Jaeger O'Meara,95.89,,,Hawthorn Hawks
Jy Simpkin,95.19,,,North Melbourne Kangaroos
Brad Crouch,94.84,,,St Kilda Saints
Luke Dunstan,94.58,,,St Kilda Saints
Lachie Neale,94.47,,,Brisbane Lions
Dyson Heppell,94.35,,,Essendon Bombers
Christopher Mayne,93.94,,,Collingwood Magpies
Brandon Ellis,93.83,,,Gold Coast Suns
Jack Redden,93.72,,,West Coast Eagles
Jayden Short,93.36,,,Richmond Tigers
Isaac Smith,92.4,,,Geelong Cats
Christian Salem,92.2,,,Melbourne Demons
Bachar Houli,91.58,,,Richmond Tigers
Josh Dunkley,91.55,,,Western Bulldogs
Dominic Sheed,91.36,,,West Coast Eagles
Thomas Liberatore,90.29,,,Western Bulldogs
David Mundy,89.52,,,Fremantle Dockers
David Swallow,89.48,,,Gold Coast Suns
Josh P. Kennedy,88.86,,,Sydney Swans
Jordan Dawson,88.82,,,Sydney Swans
