Andrew McGrath,141,738000,Midfield,Essendon Bombers
Dominic Sheed,138,,Midfield,West Coast Eagles
Jack Bowes,135,608000,Defender,Gold Coast Suns
Jackson Macrae,135,,Midfield,Western Bulldogs
Dustin Martin,131,713000,Midfield,Richmond Tigers
Bailey Smith,131,663000,Midfield,Western Bulldogs
Shannon Hurn,129,617000,Defender,West Coast Eagles
Jaidyn Stephenson,128,470000,Forward,North Melbourne Kangaroos
Callum Mills,121,705000,Defender,Sydney Swans
Rory Laird,119,763000,Defender,Adeliade Crows
Jack Graham,115,557000,Midfield,Richmond Tigers
Lachlan Hunter,115,,Midfield,Western Bulldogs
Steven Motlop,112,412000,Forward,Port Adelaide Power
Caleb Daniel,111,676000,Defender,Western Bulldogs
Tim Kelly,111,730000,Midfield,West Coast Eagles
Zachary Merrett,111,884000,Midfield,Essendon Bombers
Tom McDonald,110,472000,Forward,Melbourne Demons
Travis Boak,109,799000,Midfield,Port Adelaide Power
Errol Gulden,108,208000,Midfield,Sydney Swans
Oleg Markov,108,370000,Defender,Gold Coast Suns
Josh Dunkley,107,741000,Midfield,Western Bulldogs
Clayton Oliver,107,875000,Midfield,Melbourne Demons
David Swallow,107,682000,Midfield,Gold Coast Suns
Tom Mitchell,106,823000,Midfield,Hawthorn Hawks
Bailey Williams,106,605000,Defender,Western Bulldogs
Andrew Brayshaw,105,729000,Midfield,Fremantle Dockers
Jack Lukosius,105,595000,Defender,Gold Coast Suns
Taylor Walker,105,366000,Forward,Adeliade Crows
Jye Caldwell,104,502000,Midfield,Essendon Bombers
Jack Newnes,104,546000,Midfield,Carlton Blues
Tom Barrass,103,428000,Defender,West Coast Eagles
Will Day,103,569000,Defender,Hawthorn Hawks
Thomas Liberatore,103,675000,Midfield,Western Bulldogs
Tim Taranto,103,718000,Midfield,Greater Western Sydney Giants
Adam Cerra,102,631000,Midfield,Fremantle Dockers
Lachlan Sholl,102,442000,Defender,Adeliade Crows
Marcus Bontempelli,101,801000,Midfield,Western Bulldogs
Brandan Parfitt,101,654000,Midfield,Geelong Cats
Harry Perryman,101,670000,Midfield,Greater Western Sydney Giants
Jack Billings,100,715000,Midfield,St Kilda Saints
Nick Hind,100,409000,Forward,Essendon Bombers
Tim Membrey,100,492000,Forward,St Kilda Saints
Edward Curnow,99,,Midfield,Carlton Blues
Matthew Flynn,99,,Ruck,Greater Western Sydney Giants
Adam Saad,99,632000,Defender,Carlton Blues
Luke Parker,97,809000,Midfield,Sydney Swans
Oscar Allen,96,524000,Forward,West Coast Eagles
Patrick Dangerfield,96,780000,Midfield,Geelong Cats
Alex Keath,96,392000,Defender,Western Bulldogs
Isaac Smith,96,618000,Midfield,Geelong Cats
Jade Gresham,95,587000,Midfield,St Kilda Saints
Ed Langdon,95,696000,Midfield,Melbourne Demons
Jarryd Lyons,95,817000,Midfield,Brisbane Lions
Daniel Rich,95,644000,Defender,Brisbane Lions
Sam Walsh,95,739000,Midfield,Carlton Blues
Jack Ziebell,95,644000,Forward,North Melbourne Kangaroos
Dayne Zorko,95,753000,Midfield,Brisbane Lions
Jayden Short,94,694000,Defender,Richmond Tigers
Samuel Collins,93,,Defender,Gold Coast Suns
Scott Pendlebury,93,805000,Midfield,Collingwood Magpies
Bailey Scott,93,453000,Midfield,North Melbourne Kangaroos
Tom Hickey,92,418000,Ruck,Sydney Swans
Steven May,92,584000,Defender,Melbourne Demons
Hunter Clark,91,603000,Defender,St Kilda Saints
Jack Crisp,91,726000,Defender,Collingwood Magpies
Sam Docherty,91,676000,Defender,Carlton Blues
Blake Hardwick,91,451000,Defender,Hawthorn Hawks
Ben Keays,91,609000,Midfield,Adeliade Crows
Joshua Kelly,91,809000,Midfield,Greater Western Sydney Giants
Oliver Wines,91,729000,Midfield,Port Adelaide Power
Charlie Ballard,90,397000,Defender,Gold Coast Suns
Todd Goldstein,90,760000,Ruck,North Melbourne Kangaroos
Brayden Maynard,90,716000,Defender,Collingwood Magpies
Christian Petracca,90,825000,Midfield,Melbourne Demons
Jordan Ridley,90,683000,Defender,Essendon Bombers
Harry Morrison,89,500000,Defender,Hawthorn Hawks
James Rowbottom,89,535000,Midfield,Sydney Swans
Jamie Cripps,88,499000,Forward,West Coast Eagles
Nathan Fyfe,88,,Midfield,Fremantle Dockers
Scott Lycett,88,630000,Ruck,Port Adelaide Power
Ben McEvoy,88,477000,Defender,Hawthorn Hawks
Jaeger O'Meara,88,724000,Midfield,Hawthorn Hawks
Tom Cole,87,447000,Defender,West Coast Eagles
Patrick Cripps,87,718000,Midfield,Carlton Blues
Taylor Duryea,87,533000,Defender,Western Bulldogs
Jake Lever,87,441000,Defender,Melbourne Demons
Tom Phillips,87,602000,Midfield,Hawthorn Hawks
Dion Prestia,87,645000,Midfield,Richmond Tigers
James Harmes,86,474000,Defender,Melbourne Demons
Kane Lambert,86,598000,Forward,Richmond Tigers
Dylan Moore,86,440000,Forward,Hawthorn Hawks
John Noble,86,585000,Defender,Collingwood Magpies
Lachlan Weller,86,,Midfield,Gold Coast Suns
Josh Bruce,85,371000,Forward,Western Bulldogs
Stephen Coniglio,85,744000,Midfield,Greater Western Sydney Giants
Brodie Grundy,85,867000,Ruck,Collingwood Magpies
Tom Lynch,85,609000,Forward,Adeliade Crows
Darcy Moore,85,495000,Defender,Collingwood Magpies
Jack Riewoldt,85,469000,Forward,Richmond Tigers
Caleb Serong,85,636000,Midfield,Fremantle Dockers
Rory Sloane,85,580000,Midfield,Adeliade Crows
Callan Ward,85,461000,Midfield,Greater Western Sydney Giants
Shane Edwards,84,497000,Midfield,Richmond Tigers
Brandon Ellis,84,691000,Midfield,Gold Coast Suns
Jacob Hopper,84,673000,Midfield,Greater Western Sydney Giants
James Rowe,84,196000,Forward,Adeliade Crows
Billy Frampton,83,328000,Forward,Adeliade Crows
Dyson Heppell,83,566000,Midfield,Essendon Bombers
George Hewett,83,506000,Midfield,Sydney Swans
Luke Ryan,83,673000,Defender,Fremantle Dockers
Jarrod Witts,83,615000,Ruck,Gold Coast Suns
Luke Davies-Uniacke,82,522000,Midfield,North Melbourne Kangaroos
Timothy English,82,698000,Ruck,Western Bulldogs
Cameron Guthrie,82,810000,Midfield,Geelong Cats
Dan Houston,82,697000,Defender,Port Adelaide Power
Patrick Lipinski,82,569000,Midfield,Western Bulldogs
Jonathon Ceglar,81,573000,Ruck,Hawthorn Hawks
Orazio Fantasia,81,353000,Defender,Port Adelaide Power
Darcy Parish,81,625000,Midfield,Essendon Bombers
Jack Redden,81,554000,Midfield,West Coast Eagles
Sebastian Ross,81,565000,Midfield,St Kilda Saints
Willem Drew,80,361000,Midfield,Port Adelaide Power
Isaac Heeney,80,603000,Forward,Sydney Swans
James Jordan,80,,Midfield,Melbourne Demons
Josh Rotham,80,482000,Defender,West Coast Eagles
Paul Seedsman,80,589000,Midfield,Adeliade Crows
Shaun Atley,79,520000,Defender,North Melbourne Kangaroos
Zak Butters,79,595000,Forward,Port Adelaide Power
Jack Bytel,79,299000,Midfield,St Kilda Saints
Jack Madgen,79,470000,Defender,Collingwood Magpies
Dylan Shiel,79,780000,Midfield,Essendon Bombers
Thomas Stewart,79,736000,Defender,Geelong Cats
Isaac Cumming,78,355000,Defender,Greater Western Sydney Giants
Sam Draper,78,454000,Ruck,Essendon Bombers
Hugh McCluggage,78,708000,Midfield,Brisbane Lions
Jeremy McGovern,78,541000,Defender,West Coast Eagles
Dane Rampe,78,501000,Defender,Sydney Swans
Jack Steele,78,867000,Midfield,St Kilda Saints
