Max Gawn,,944000,Ruck,
Lachie Neale,,935000,Midfield,
Zach Merrett,,884000,Midfield,
Lachie Hunter,,882000,Midfield,
Clayton Oliver,,875000,Midfield,
Taylor Adams,,873000,Midfield,
Tom Rockliff,,873000,Midfield,
Jake Lloyd,,873000,Defender,
Brodie Grundy,,867000,Ruck,
Jack Steele,,867000,Midfield,
Jack Macrae,,860000,Midfield,
Matt Crouch,,844000,Midfield,
Steele Sidebottom,,841000,Midfield,
Andrew Gaff,,831000,Midfield,
Reilly O'Brien,,828000,Ruck,
Christian Petracca,,825000,Midfield,
Tom Mitchell,,823000,Midfield,
Lachie Whitfield,,820000,Defender,
Jarryd Lyons,,817000,Midfield,
Adam Treloar,,812000,Midfield,
Cameron Guthrie,,810000,Midfield,
Mitch Duncan,,809000,Midfield,
Josh Kelly,,809000,Midfield,
Luke Parker,,809000,Midfield,
Scott Pendlebury,,805000,Midfield,
Marcus Bontempelli,,801000,Midfield,
Travis Boak,,799000,Midfield,
Jed Anderson,,795000,Midfield,
Sam Menegola,,783000,Midfield,
Dylan Shiel,,780000,Midfield,
Patrick Dangerfield,,780000,Midfield,
Josh P. Kennedy,,776000,Midfield,
Touk Miller,,770000,Midfield,
Bachar Houli,,764000,Defender,
Rory Laird,,763000,Defender,
Todd Goldstein,,760000,Ruck,
Dayne Zorko,,753000,Midfield,
Trent Dumont,,748000,Midfield,
Stephen Coniglio,,744000,Midfield,
Josh Dunkley,,741000,Midfield,
Ed Curnow,,739000,Midfield,
Sam Walsh,,739000,Midfield,
Andrew McGrath,,738000,Midfield,
Rowan Marshall,,738000,Ruck,
Hugh Greenwood,,737000,Midfield,
James Worpel,,737000,Midfield,
Tom Stewart,,736000,Defender,
Tim Kelly,,730000,Midfield,
Andrew Brayshaw,,729000,Midfield,
Ollie Wines,,729000,Midfield,
Shaun Higgins,,728000,Midfield,
Jack Crisp,,726000,Defender,
Jaeger O'Meara,,724000,Midfield,
Nat Fyfe,,720000,Midfield,
Jack Viney,,720000,Midfield,
Patrick Cripps,,718000,Midfield,
Tim Taranto,,718000,Midfield,
Brayden Maynard,,716000,Defender,
Luke Dunstan,,716000,Midfield,
Jack Billings,,715000,Midfield,
Dustin Martin,,713000,Midfield,
Hugh McCluggage,,708000,Midfield,
Brad Crouch,,708000,Midfield,
Zak Jones,,708000,Midfield,
Callum Mills,,705000,Defender,
Michael Walters,,698000,Midfield,
Tim English,,698000,Ruck,
Dan Houston,,697000,Defender,
Ed Langdon,,696000,Midfield,
Jayden Short,,694000,Defender,
Luke McDonald,,692000,Defender,
Brandon Ellis,,691000,Midfield,
Jared Polec,,686000,Midfield,
Jordan Ridley,,683000,Defender,
